Genres,Old School Rock,Old School Pop,Old School Country,Old School Jazz,Old School Grunge,Old School Rap,Old School Soul
Old School Rock,Purple Haze - Jimi Hendrix,Crazy - Gnarls Barkley,Jolene - Dolly Parton,Honeysuckle Rose - Fats Waller,Smells Like Teen Spirit - Nirvana,Moment of Truth - Gang Starr,Lean on Me - Bill Withers
Old School Pop,Under Pressure - David Bowie,Vampire - Olivia Rodrigo,Choices - George Jones,Mack The Knife - Bobby Darin,Hunger Strike - Temple of the Dog,Forgot About Dre - Eminem,(Sitting on) the Dock of the Bay - Otis Redding
Old School Country,Bohemian Rhapsody - Queen,Hey Ya! - Outkast,Concrete Angel - Martina McBride,"Take The ""A"" Train - Duke Ellington",No Rain - Blind Melon,In da Club - 50 Cent,The Tracks of My Tears - Smokey Robinson
Old School Jazz,,,,,,,
Old School Grunge,,,,,,,
Old School Rap,,,,,,,
Old School Soul,,,,,,,
